,Latitude,Longitude,City,Country,Temperature,Humidity,Cloudiness,Wind Speed
0,-71.50109219185876,171.70172834358823,bluff,nz,60.77,96,68,6.67
1,82.84609216790847,-39.406881282345864,tasiilaq,gl,22.07,100,88,24.34
2,33.686491612704685,-51.7440635069259,saint george,bm,64.4,52,20,6.93
3,3.7628897513659467,-149.7136958994417,hilo,us,68,54,1,10.29
4,1.4787233177458745,21.12204641853066,bongandanga,cd,87.55,45,8,4.76
5,7.276232544572679,159.222319870452,namatanai,pg,81.56,100,36,14.83
8,22.46315176508581,86.76633074904333,chakulia,in,55.96,81,0,2.86
9,-31.603303904092712,9.246200160635738,luderitz,na,66.67,68,0,23.89
11,-44.40190937364944,-48.62607568552227,mar del plata,ar,65.72,38,0,7.45
12,9.8972199892563,99.52950361433585,lang suan,th,77,83,20,1.12
13,27.940500649628703,-35.05517668675898,ribeira grande,pt,62.6,72,40,9.17
15,72.53515344868276,-127.18810974650378,tuktoyaktuk,ca,14,72,75,20.8
16,-14.749496437835987,68.45888822337614,quatre cocos,mu,78.8,78,40,3.36
17,80.79612075735153,-92.89680670316102,qaanaaq,gl,-8.85,80,0,9.46
18,-41.912403370516685,145.41310765076395,burnie,au,64.69,99,76,34.18
21,-66.42161437210731,87.88160981989188,busselton,au,59.11,100,0,11.03
23,56.20800256434342,-175.11509377421294,provideniya,ru,25.9,93,92,43.24
24,66.91172661338294,-103.193176954891,la ronge,ca,-9.41,76,75,6.93
25,-23.539623937268686,135.39652587578018,alice springs,au,69.8,19,0,1.12
26,-77.23806137736182,-178.83783724996297,vaini,to,80.6,94,90,21.92
27,55.97262692526289,-47.696660502992586,nanortalik,gl,28.87,97,20,23.67
28,48.133809777568445,128.53607953427417,cuiluan,cn,-21.45,30,0,3.42
29,54.46949997424579,-78.44879776935052,moose factory,ca,5,54,1,5.82
30,-23.650055518068186,152.5989350154248,bundaberg,au,75.2,94,75,6.67
31,60.53989208824433,-100.88105158363278,thompson,ca,-5.81,76,75,2.24
35,-16.55883909775858,24.247748792034344,sesheke,zm,81.7,55,48,4.76
36,-23.303209977803704,-163.24417462837798,avarua,ck,80.6,78,64,5.82
37,48.518629734356665,-98.00264055856937,grafton,us,0.18,77,90,4.7
38,-79.95060700543652,-56.33575112419811,ushuaia,ar,50,61,40,26.4
41,52.446476856284676,-99.7582642561487,dauphin,ca,-11.21,83,1,4.7
42,1.7980355039011897,5.050631830719482,yenagoa,ng,85.07,47,8,8.9
43,61.87816907742564,-107.72465623132885,yellowknife,ca,1.4,84,75,3.36
44,-9.21974635057677,147.24573196884768,port moresby,pg,77.2,100,80,14.27
45,50.884221748020366,-83.57524690343078,hearst,ca,6.73,55,0,3.65
46,-71.9049023509588,51.108949202329114,east london,za,66.2,93,75,13.87
48,-84.03063401337977,94.08867533375366,albany,au,59,67,90,8.05
49,-52.19638714317208,136.20124658577623,new norfolk,au,66.2,55,20,18.34
50,40.77170289288162,-146.0840839655656,kodiak,us,31.41,100,90,10.29
51,43.71550871779607,109.43484772918862,erenhot,cn,-3.99,47,56,7.9
52,-35.79027049073966,-122.20907365581083,rikitea,pf,74.81,100,92,8.01
57,-78.5608614145273,36.54538995403212,port elizabeth,za,62.6,93,0,4.7
62,16.19131833757895,-26.63309321625198,mindelo,cv,86,16,8,8.05
63,68.30948799267276,0.38037785764973364,raudeberg,no,31.98,74,40,18.34
65,79.85266952729259,129.5062295024074,tiksi,ru,-16.05,70,68,13.82
66,-21.14527989816034,85.38929997284896,hithadhoo,mv,84.04,100,68,9.91
68,-43.95738191958364,-42.03573273575043,chuy,uy,71.71,100,92,4.99
72,-84.612699553054,3.3877782688229843,hermanus,za,66.89,78,64,6.67
76,-0.1269352608101002,-144.7687420742812,atuona,pf,80.21,100,76,13.6
77,-24.117276727119858,-13.335096181967941,jamestown,sh,75.94,100,76,11.03
78,78.27029683027692,105.03752213273282,khatanga,ru,-14.38,66,48,7.67
79,-53.26752121797672,24.155721673197377,bredasdorp,za,71.6,78,88,9.17
80,37.37540270944841,-158.77644968390345,kapaa,us,64.96,72,20,8.05
81,49.96021373281647,-128.09890234114488,port hardy,ca,30.2,50,75,26.4
82,11.76821157795841,-161.5030586783448,ewa beach,us,64.11,75,75,3.36
84,-11.50888895860794,106.19829475370295,banjar,id,69.28,98,32,2.19
85,-78.18426959481195,-118.70363307161017,punta arenas,cl,50.95,57,0,13.87
86,-18.27389764051776,-30.52216763732463,belmonte,br,89.39,68,20,11.92
90,29.74782735568364,-96.85406028478403,brenham,us,62.89,100,75,4.54
93,32.457788666442895,-90.9239264271962,vicksburg,us,67.62,81,40,11.41
94,-38.590250105145245,158.93257188249976,nelson bay,au,62.6,88,0,12.82
95,70.5685089712481,44.334276457024174,kamenka,ru,19.06,91,80,9.91
96,-47.66276701554885,-87.83310583682501,castro,cl,66.2,37,0,9.17
98,-53.225623842679305,128.05905020264208,mount gambier,au,60.8,82,75,16.11
99,30.579385599336575,86.02519882705138,kathmandu,np,50,87,20,3.09
100,68.4108372938926,32.451991260031434,murmashi,ru,32,90,75,4.47
101,0.5324224504082764,-22.82977377875119,georgetown,sh,79.72,100,64,16.28
103,39.46260458308933,-60.716341763928725,halifax,ca,21.11,29,20,29.97
105,59.263768629119966,-113.5668893678402,hay river,ca,5,77,90,9.17
108,84.64706299634915,-62.802331843288044,narsaq,gl,35.6,24,75,24.16
111,57.44238199258649,13.69980422064694,varnamo,se,30.94,73,0,9.17
114,48.12277513379291,48.92972631554312,aksarayskiy,ru,23,73,0,6.71
118,25.3191784661837,-152.70776968302698,kahului,us,65.16,83,75,13.87
119,-25.32423169448144,-79.9624138442654,taltal,cl,75.44,71,8,4.21
124,50.237588758846044,102.70500052903611,zakamensk,ru,-34.81,0,0,2.42
125,-22.71643206933659,169.33820335150023,vao,nc,77.65,100,80,20.54
126,66.8606410044624,178.7447347915139,anadyr,ru,3.2,84,90,44.74
133,4.6720465975192695,-12.013302229290446,monrovia,lr,86,66,20,9.17
135,45.17771741537388,-30.168173018930815,lagoa,pt,60.8,72,0,10.29
136,-31.272999155340678,127.00831605781593,esperance,au,57.2,71,75,8.05
137,62.033998202785114,-162.6072995596867,bethel,us,28.98,80,90,28.86
143,65.38864661383212,157.90365912837365,omsukchan,ru,-34.5,0,36,2.42
145,27.542838480211643,-19.73071178127293,los llanos de aridane,es,71.6,68,0,6.93
146,50.38146309064709,-73.84838022784803,chapais,ca,-4.01,58,20,8.05
148,-42.56070477930584,-67.43209312480921,trelew,ar,66.71,37,0,15.61
149,-0.5270242845974309,23.941423071759516,yangambi,cd,83.77,70,36,2.53
151,34.5734657809039,-12.63186416128778,camacha,pt,63.64,77,20,14.99
155,88.85197907446678,-152.1893367872452,barrow,us,32.65,100,90,6.93
156,-59.70147161594315,33.15041248220518,port alfred,za,70.04,92,76,12.26
157,-51.03126527947419,147.2035876333419,hobart,au,66.2,55,20,18.34
158,-9.623804724875754,34.4750796837657,njombe,tz,61.63,99,92,2.42
160,43.34554238267023,116.67344087782482,mujiayingzi,cn,-6.6,55,32,2.3
161,44.639903125188084,169.98778829870406,nikolskoye,ru,33.8,95,75,8.95
163,-38.61199663661121,167.69682924041672,westport,nz,60.19,100,100,2.42
168,16.26062691187019,-117.28321858861261,cabo san lucas,mx,71.74,64,40,8.23
169,55.90781290332001,24.626579999118633,vabalninkas,lt,38.09,94,92,12.03
170,35.043685383819536,-19.548118628643806,ponta do sol,pt,64.4,77,40,6.93
173,-10.321123434864361,117.13805908965429,praya,id,77,94,68,4.65
174,17.29088381184455,42.75551910403345,sabya,sa,80.6,78,40,8.05
177,88.51011238266835,68.28083044682043,dikson,ru,-7.09,91,68,17.63
179,86.85960085903008,23.71817542447681,longyearbyen,sj,17.6,67,75,11.41
184,-11.90158968070267,10.928796036465883,benguela,ao,81.47,92,12,10.25
185,-10.134908874440185,-73.96730699054955,satipo,pe,74.86,82,68,2.53
187,-40.995543171553514,-80.62642080063172,ancud,cl,66.2,37,0,9.17
188,69.37362265167545,110.58631404640687,udachnyy,ru,-10.69,69,32,3.53
191,59.22354342696491,-3.3103571792833293,stromness,gb,37.4,86,20,5.82
192,15.910644599592572,-5.756749568478199,sokolo,ml,83.14,17,0,10.8
193,15.8801214041613,15.851179501059335,mao,td,74.99,19,0,11.81
194,37.49860074861087,-129.72196204244793,fortuna,us,45.5,100,75,18.34
196,-18.75854037885543,5.848767695569734,namibe,ao,76.79,100,0,15.73
197,-37.365326738988685,-95.67143997800373,lebu,cl,61.22,78,0,22.32
200,-20.40417308519453,-106.62534187610183,puerto ayora,ec,84.2,70,40,12.75
210,42.697510865008155,-108.14904568269122,riverton,us,18.54,41,1,18.34
212,35.64555862541749,61.85223020597377,sarakhs,ir,48.2,93,92,2.24
